,ACCOUNT_ID,TIMESTAMP,visited_week_index
20794,553,2022-05-13,8
20813,125,2022-05-13,8
20819,572,2022-05-13,8
20821,425,2022-05-13,8
20823,621,2022-05-13,8
20824,899,2022-05-13,8
20844,126,2022-05-13,8
20853,150,2022-05-13,8
20857,2,2022-05-13,8
20861,119,2022-05-13,8
20909,513,2022-05-13,8
20920,579,2022-05-13,8
20946,158,2022-05-13,8
20949,88,2022-05-13,8
20954,379,2022-05-13,8
20957,30,2022-05-13,8
20973,223,2022-05-13,8
20978,239,2022-05-13,8
20989,863,2022-05-13,8
20996,187,2022-05-13,8
21003,174,2022-05-13,8
21009,130,2022-05-13,8
21014,382,2022-05-13,8
21020,134,2022-05-13,8
21026,53,2022-05-13,8
21039,42,2022-05-13,8
21060,253,2022-05-13,8
21064,20,2022-05-13,8
21069,41,2022-05-13,8
21081,1500,2022-05-14,8
21083,183,2022-05-14,8
21100,80,2022-05-14,8
21106,837,2022-05-14,8
21118,254,2022-05-14,8
21163,127,2022-05-14,8
21164,1204,2022-05-14,8
21169,168,2022-05-14,8
21174,1513,2022-05-14,8
21180,1116,2022-05-14,8
21184,1502,2022-05-15,8
21186,155,2022-05-15,8
21187,72,2022-05-15,8
21199,787,2022-05-15,8
21267,77,2022-05-15,8
21332,260,2022-05-15,8
21337,615,2022-05-15,8
21345,318,2022-05-15,8
21349,92,2022-05-15,8
21365,1391,2022-05-15,8
21366,778,2022-05-15,8
21399,168,2022-05-15,8
21403,67,2022-05-15,8
21404,253,2022-05-15,8
21412,479,2022-05-15,8
21415,406,2022-05-15,8
21418,158,2022-05-15,8
21437,1434,2022-05-16,8
21440,82,2022-05-16,8
21472,19,2022-05-16,8
21481,95,2022-05-16,8
21489,477,2022-05-16,8
21491,2,2022-05-16,8
21504,9,2022-05-16,8
21507,168,2022-05-16,8
21509,32,2022-05-16,8
21516,7,2022-05-16,8
21517,80,2022-05-16,8
21527,111,2022-05-16,8
21529,779,2022-05-16,8
21553,36,2022-05-16,8
21568,422,2022-05-16,8
21614,496,2022-05-16,8
21617,280,2022-05-16,8
21621,1062,2022-05-16,8
21623,184,2022-05-16,8
21630,231,2022-05-16,8
21639,152,2022-05-16,8
21647,159,2022-05-16,8
21648,89,2022-05-16,8
21666,210,2022-05-16,8
21689,591,2022-05-16,8
21718,301,2022-05-16,8
21724,1234,2022-05-16,8
21730,252,2022-05-16,8
21736,158,2022-05-16,8
21742,163,2022-05-16,8
21745,5,2022-05-16,8
21758,149,2022-05-16,8
21776,42,2022-05-16,8
21779,130,2022-05-16,8
21782,187,2022-05-16,8
21791,287,2022-05-16,8
21815,83,2022-05-16,8
21847,734,2022-05-16,8
21850,479,2022-05-16,8
21870,189,2022-05-16,8
21884,420,2022-05-16,8
21935,178,2022-05-16,8
21936,276,2022-05-16,8
21958,30,2022-05-16,8
21979,13,2022-05-16,8
21981,458,2022-05-16,8
21998,253,2022-05-16,8
22000,57,2022-05-16,8
22008,108,2022-05-16,8
22012,76,2022-05-16,8
22017,976,2022-05-17,9
22019,12,2022-05-17,9
22023,797,2022-05-17,9
22029,134,2022-05-17,9
22033,626,2022-05-17,9
22036,48,2022-05-17,9
22038,1227,2022-05-17,9
22042,197,2022-05-17,9
22043,518,2022-05-17,9
22059,74,2022-05-17,9
22088,6,2022-05-17,9
22090,32,2022-05-17,9
22096,77,2022-05-17,9
22098,779,2022-05-17,9
22105,221,2022-05-17,9
22107,183,2022-05-17,9
22110,15,2022-05-17,9
22113,986,2022-05-17,9
22114,33,2022-05-17,9
22121,1316,2022-05-17,9
22126,152,2022-05-17,9
22132,662,2022-05-17,9
22143,635,2022-05-17,9
22148,5,2022-05-17,9
22154,591,2022-05-17,9
22155,1163,2022-05-17,9
22164,589,2022-05-17,9
22167,553,2022-05-17,9
22171,1475,2022-05-17,9
22184,1367,2022-05-17,9
22186,425,2022-05-17,9
22189,1,2022-05-17,9
22210,68,2022-05-17,9
22221,54,2022-05-17,9
22237,85,2022-05-17,9
22240,1519,2022-05-17,9
22253,34,2022-05-17,9
22256,1231,2022-05-17,9
22264,1021,2022-05-17,9
22267,382,2022-05-17,9
22281,328,2022-05-17,9
22285,807,2022-05-17,9
22294,240,2022-05-17,9
22303,25,2022-05-17,9
22305,69,2022-05-17,9
22322,336,2022-05-17,9
22330,59,2022-05-17,9
22332,916,2022-05-17,9
22352,266,2022-05-17,9
22355,56,2022-05-17,9
22360,244,2022-05-17,9
22375,97,2022-05-17,9
22380,22,2022-05-17,9
22397,1127,2022-05-17,9
22416,130,2022-05-17,9
22426,42,2022-05-17,9
22436,108,2022-05-17,9
22445,606,2022-05-17,9
22446,170,2022-05-17,9
22493,2,2022-05-17,9
22504,367,2022-05-17,9
22505,159,2022-05-17,9
22510,187,2022-05-17,9
22535,291,2022-05-17,9
22550,619,2022-05-17,9
22555,555,2022-05-17,9
22605,1495,2022-05-17,9
22606,391,2022-05-17,9
22643,269,2022-05-17,9
22655,124,2022-05-17,9
22680,163,2022-05-18,9
22688,1125,2022-05-18,9
22689,295,2022-05-18,9
22693,99,2022-05-18,9
22696,51,2022-05-18,9
22698,187,2022-05-18,9
22711,303,2022-05-18,9
22728,1332,2022-05-18,9
22732,1066,2022-05-18,9
22745,591,2022-05-18,9
22755,27,2022-05-18,9
22758,531,2022-05-18,9
22768,441,2022-05-18,9
22770,285,2022-05-18,9
22773,33,2022-05-18,9
22782,5,2022-05-18,9
22814,385,2022-05-18,9
22826,72,2022-05-18,9
22857,6,2022-05-18,9
22871,628,2022-05-18,9
22874,15,2022-05-18,9
22894,82,2022-05-18,9
22917,133,2022-05-18,9
22963,666,2022-05-18,9
23020,267,2022-05-18,9
23075,89,2022-05-18,9
23077,80,2022-05-18,9
23105,260,2022-05-18,9
23168,594,2022-05-18,9
23174,376,2022-05-18,9
23192,332,2022-05-18,9
23193,77,2022-05-18,9
23222,126,2022-05-18,9
23235,109,2022-05-18,9
23253,48,2022-05-18,9
23274,97,2022-05-18,9
23279,244,2022-05-18,9
23283,215,2022-05-18,9
23294,59,2022-05-18,9
23318,50,2022-05-18,9
23321,75,2022-05-18,9
23325,30,2022-05-18,9
23336,42,2022-05-18,9
23358,1361,2022-05-18,9
23364,991,2022-05-18,9
23371,124,2022-05-18,9
23373,108,2022-05-18,9
23390,718,2022-05-18,9
23399,2,2022-05-18,9
23401,253,2022-05-18,9
23414,20,2022-05-18,9
23418,344,2022-05-18,9
23463,269,2022-05-18,9
23478,165,2022-05-18,9
23481,162,2022-05-18,9
23496,626,2022-05-19,9
23507,1024,2022-05-19,9
23509,594,2022-05-19,9
23511,35,2022-05-19,9
23514,82,2022-05-19,9
23522,997,2022-05-19,9
23525,1039,2022-05-19,9
23545,7,2022-05-19,9
23561,591,2022-05-19,9
23598,88,2022-05-19,9
23608,318,2022-05-19,9
23618,33,2022-05-19,9
23624,80,2022-05-19,9
23626,677,2022-05-19,9
23639,34,2022-05-19,9
23651,51,2022-05-19,9
23661,32,2022-05-19,9
23675,1304,2022-05-19,9
23695,12,2022-05-19,9
23723,188,2022-05-19,9
23726,840,2022-05-19,9
23752,124,2022-05-19,9
23762,121,2022-05-19,9
23777,118,2022-05-19,9
23781,158,2022-05-19,9
23782,1263,2022-05-19,9
23796,85,2022-05-19,9
23798,147,2022-05-19,9
23834,385,2022-05-19,9
23835,20,2022-05-19,9
23851,165,2022-05-19,9
23855,57,2022-05-19,9
23861,185,2022-05-19,9
23869,8,2022-05-19,9
23885,630,2022-05-19,9
23892,127,2022-05-19,9
23907,108,2022-05-19,9
23914,2,2022-05-19,9
23919,42,2022-05-19,9
23928,325,2022-05-19,9
23942,870,2022-05-19,9
23946,463,2022-05-19,9
23968,387,2022-05-19,9
23990,22,2022-05-19,9
23999,1294,2022-05-20,9
24004,24,2022-05-20,9
24024,7,2022-05-20,9
24031,1323,2022-05-20,9
24032,215,2022-05-20,9
24033,42,2022-05-20,9
24035,628,2022-05-20,9
24038,168,2022-05-20,9
24048,51,2022-05-20,9
24058,827,2022-05-20,9
24064,279,2022-05-20,9
24067,190,2022-05-20,9
24069,342,2022-05-20,9
24074,1160,2022-05-20,9
24080,54,2022-05-20,9
24082,148,2022-05-20,9
24084,194,2022-05-20,9
24102,577,2022-05-20,9
24123,614,2022-05-20,9
24126,591,2022-05-20,9
24129,125,2022-05-20,9
24146,987,2022-05-20,9
24147,229,2022-05-20,9
24160,602,2022-05-20,9
24165,79,2022-05-20,9
24166,70,2022-05-20,9
24170,68,2022-05-20,9
24172,121,2022-05-20,9
24185,5,2022-05-20,9
24192,1042,2022-05-20,9
24202,911,2022-05-20,9
24208,408,2022-05-20,9
24216,708,2022-05-20,9
24238,261,2022-05-20,9
24247,2,2022-05-20,9
24252,88,2022-05-20,9
24257,85,2022-05-20,9
24282,80,2022-05-20,9
24291,640,2022-05-20,9
24295,165,2022-05-20,9
